,Sample,Source,Replicate,Nb
0,Flask_A,Flask,A,81211
1,Flask_B,Flask,B,67836
2,Flask_C,Flask,C,79987
3,Flask_D,Flask,D,68040
4,Planktonic_A,Planktonic,A,86746
5,Planktonic_B,Planktonic,B,73092
6,Planktonic_C,Planktonic,C,80716
7,Planktonic_D,Planktonic,D,64981
8,Disc_A,Disc,A,21968
9,Disc_A,Disc,A,18835
10,Disc_A,Disc,A,16559
11,Disc_B,Disc,B,17797
12,Disc_B,Disc,B,18105
13,Disc_B,Disc,B,21953
14,Disc_C,Disc,C,27549
15,Disc_C,Disc,C,11582
16,Disc_C,Disc,C,13998
17,Disc_D,Disc,D,28942
18,Disc_D,Disc,D,18046
19,Disc_D,Disc,D,29329
