,Sample,Source,Replicate,Shannon Entropy,Distance
0,Flask,Flask_A,A,10.860780737936444,0.45826800000000006
1,Flask,Flask_B,B,10.647939633630253,0.49636399999999986
2,Flask,Flask_C,C,10.84858016625602,0.4658240000000001
3,Flask,Flask_D,D,10.666134577596285,0.5075839999999999
4,Planktonic,Planktonic_A,A,10.93809538372267,0.4341480000000001
5,Planktonic,Planktonic_B,B,10.759985921488726,0.485908
6,Planktonic,Planktonic_C,C,10.85381140807776,0.4555960000000001
7,Planktonic,Planktonic_D,D,10.622655684510105,0.5158080000000002
8,Disc,Disc_A,A,8.029155490672638,0.84392
9,Disc,Disc_A,A,8.506772009828426,0.831084
10,Disc,Disc_A,A,8.909176482532056,0.8191199999999998
11,Disc,Disc_B,B,8.461996852799517,0.8402240000000001
12,Disc,Disc_B,B,8.629757968797175,0.828924
13,Disc,Disc_B,B,8.860975385251585,0.80644
14,Disc,Disc_C,C,9.212440305407792,0.7808240000000003
15,Disc,Disc_C,C,8.689130432631702,0.843924
16,Disc,Disc_C,C,8.36879622739385,0.8396959999999999
17,Disc,Disc_D,D,9.408926797487707,0.7610279999999999
18,Disc,Disc_D,D,8.68651907307386,0.81786
19,Disc,Disc_D,D,9.288761287195474,0.7725680000000001
