,Sample,Distance,Replicate
0,Planktonic,0.840424,A
1,Planktonic,0.825248,A
2,Planktonic,0.825248,A
3,"Disc
(Intra-well)",0.900968,A
4,"Disc
(Intra-well)",0.904316,A
5,"Disc
(Intra-well)",0.900968,A
6,"Disc
(Intra-well)",0.892536,A
7,"Disc
(Intra-well)",0.904316,A
8,"Disc
(Intra-well)",0.892536,A
9,Planktonic,0.838832,B
10,Planktonic,0.83252,B
11,Planktonic,0.83252,B
12,"Disc
(Intra-well)",0.903488,B
13,"Disc
(Intra-well)",0.894816,B
14,"Disc
(Intra-well)",0.903488,B
15,"Disc
(Intra-well)",0.890592,B
16,"Disc
(Intra-well)",0.894816,B
17,"Disc
(Intra-well)",0.890592,B
18,Planktonic,0.781836,C
19,Planktonic,0.840464,C
20,Planktonic,0.840464,C
21,"Disc
(Intra-well)",0.881456,C
22,"Disc
(Intra-well)",0.88486,C
23,"Disc
(Intra-well)",0.881456,C
24,"Disc
(Intra-well)",0.896124,C
25,"Disc
(Intra-well)",0.88486,C
26,"Disc
(Intra-well)",0.896124,C
27,Planktonic,0.768248,D
28,Planktonic,0.81906,D
29,Planktonic,0.81906,D
30,"Disc
(Intra-well)",0.865664,D
31,"Disc
(Intra-well)",0.847056,D
32,"Disc
(Intra-well)",0.865664,D
33,"Disc
(Intra-well)",0.872784,D
34,"Disc
(Intra-well)",0.847056,D
35,"Disc
(Intra-well)",0.872784,D
36,"Disc
(Inter-well)",0.912796,E
37,"Disc
(Inter-well)",0.905932,E
38,"Disc
(Inter-well)",0.898132,E
39,"Disc
(Inter-well)",0.891928,E
40,"Disc
(Inter-well)",0.901952,E
41,"Disc
(Inter-well)",0.892064,E
42,"Disc
(Inter-well)",0.90148,E
43,"Disc
(Inter-well)",0.900416,E
44,"Disc
(Inter-well)",0.884492,E
45,"Disc
(Inter-well)",0.875908,E
46,"Disc
(Inter-well)",0.887068,E
47,"Disc
(Inter-well)",0.877804,E
48,"Disc
(Inter-well)",0.900472,E
49,"Disc
(Inter-well)",0.893276,E
50,"Disc
(Inter-well)",0.882804,E
51,"Disc
(Inter-well)",0.86708,E
52,"Disc
(Inter-well)",0.883388,E
53,"Disc
(Inter-well)",0.869032,E
54,"Disc
(Inter-well)",0.891104,E
55,"Disc
(Inter-well)",0.881244,E
56,"Disc
(Inter-well)",0.86716,E
57,"Disc
(Inter-well)",0.850772,E
58,"Disc
(Inter-well)",0.8712,E
59,"Disc
(Inter-well)",0.853852,E
60,"Disc
(Inter-well)",0.905708,E
61,"Disc
(Inter-well)",0.898208,E
62,"Disc
(Inter-well)",0.890744,E
63,"Disc
(Inter-well)",0.877316,E
64,"Disc
(Inter-well)",0.888048,E
65,"Disc
(Inter-well)",0.878792,E
66,"Disc
(Inter-well)",0.902868,E
67,"Disc
(Inter-well)",0.8993,E
68,"Disc
(Inter-well)",0.88502,E
69,"Disc
(Inter-well)",0.880956,E
70,"Disc
(Inter-well)",0.885516,E
71,"Disc
(Inter-well)",0.881132,E
