,70
-9.0,4962.0
-8.995,5008.6
-8.99,5013.5
-8.985,5106.8
-8.98,5120.3
-8.975,5209.0
-8.97,5228.6
-8.965,5260.8
-8.96,5332.2
-8.955,5384.2
-8.95,5444.9
-8.945,5446.3
-8.94,5530.2
-8.935,5598.0
-8.93,5615.2
-8.925,5676.2
-8.92,5711.9
-8.915,5739.9
-8.91,5823.4
-8.905,5852.3
-8.9,5921.1
-8.895,5933.7
-8.89,6004.8
-8.885,6077.7
-8.88,6117.1
-8.875,6183.7
-8.87,6234.9
-8.865,6290.8
-8.86,6347.4
-8.855,6403.4
-8.85,6431.4
-8.845,6505.1
-8.84,6575.2
-8.835,6653.8
-8.83,6679.6
-8.825,6742.1
-8.82,6782.4
-8.815,6839.3
-8.81,6896.4
-8.805,6965.5
-8.8,7026.6
-8.795,7075.1
-8.79,7133.6
-8.785,7210.2
-8.78,7227.1
-8.775,7323.8
-8.77,7359.5
-8.765,7396.4
-8.76,7498.1
-8.755,7598.1
-8.75,7680.4
-8.745,7707.6
-8.74,7729.0
-8.735,7829.8
-8.73,7880.6
-8.725,7988.5
-8.72,8030.0
-8.715,8088.4
-8.71,8181.6
-8.705,8229.6
-8.7,8291.6
-8.695,8363.5
-8.69,8423.7
-8.685,8489.3
-8.68,8562.6
-8.675,8665.0
-8.67,8711.1
-8.665,8827.4
-8.66,8892.0
-8.655,8997.6
-8.65,9076.5
-8.645,9101.0
-8.64,9171.9
-8.635,9235.3
-8.63,9304.9
-8.625,9403.0
-8.62,9432.6
-8.615,9552.1
-8.61,9594.3
-8.605,9716.5
-8.6,9764.6
-8.595,9848.3
-8.59,9907.7
-8.585,9970.6
-8.58,10059.6
-8.575,10167.5
-8.57,10251.4
-8.565,10311.2
-8.56,10383.9
-8.555,10506.6
-8.55,10590.8
-8.545,10663.4
-8.54,10696.6
-8.535,10833.2
-8.53,10934.5
-8.525,11014.3
-8.52,11048.0
-8.515,11169.8
-8.51,11274.8
-8.505,11348.6
-8.5,11458.6
-8.495,11522.9
-8.49,11611.6
-8.485,11717.7
-8.48,11727.5
-8.475,11890.6
-8.47,11932.7
-8.465,12047.8
-8.46,12135.9
-8.455,12256.4
-8.45,12377.5
-8.445,12468.9
-8.44,12553.7
-8.435,12629.2
-8.43,12747.6
-8.425,12814.6
-8.42,12880.3
-8.415,13075.8
-8.41,13115.0
-8.405,13230.1
-8.4,13364.6
-8.395,13449.0
-8.39,13510.2
-8.385,13591.5
-8.38,13748.3
-8.375,13850.9
-8.37,13931.2
-8.365,14063.8
-8.36,14172.4
-8.355,14242.9
-8.35,14377.2
-8.345,14492.9
-8.34,14589.3
-8.335,14730.2
-8.33,14754.6
-8.325,14941.0
-8.32,14932.9
-8.315,15049.9
-8.31,15267.9
-8.305,15331.8
-8.3,15408.8
-8.295,15567.6
-8.29,15673.0
-8.285,15775.1
-8.28,15909.4
-8.275,15952.6
-8.27,16085.5
-8.265,16229.1
-8.26,16323.8
-8.255,16444.6
-8.25,16561.8
-8.245,16676.0
-8.24,16803.9
-8.235,16900.5
-8.23,17041.9
-8.225,17136.3
-8.22,17296.9
-8.215,17335.9
-8.21,17530.1
-8.205,17660.1
-8.2,17748.7
-8.195,17944.8
-8.19,18034.8
-8.185,18132.7
-8.18,18332.5
-8.175,18372.0
-8.17,18467.8
-8.165,18677.0
-8.16,18722.4
-8.155,18892.6
-8.15,18982.6
-8.145,19100.1
-8.14,19276.0
-8.135,19378.6
-8.13,19508.2
-8.125,19605.9
-8.12,19811.2
-8.115,19941.5
-8.11,20066.5
-8.105,20117.8
-8.1,20275.5
-8.095,20433.1
-8.09,20606.1
-8.085,20700.9
-8.08,20876.7
-8.075,20995.1
-8.07,21172.0
-8.065,21327.9
-8.06,21368.5
-8.055,21475.8
-8.05,21688.6
-8.045,21792.9
-8.04,21912.5
-8.035,22131.6
-8.03,22190.1
-8.025,22326.8
-8.02,22567.1
-8.015,22699.4
-8.01,22735.4
-8.005,22949.6
-8.0,23100.4
-7.995,23216.1
-7.99,23370.0
-7.985,23515.9
-7.98,23730.5
-7.975,23785.4
-7.97,23937.2
-7.965,24091.9
-7.96,24171.1
-7.955,24309.4
-7.95,24526.7
-7.945,24612.4
-7.94,24737.2
-7.935,24902.4
-7.93,25074.8
-7.925,25217.5
-7.92,25398.2
-7.915,25397.3
-7.91,25674.3
-7.905,25787.0
-7.9,25971.7
-7.895,26152.3
-7.89,26287.8
-7.885,26462.8
-7.88,26648.0
-7.875,26726.6
-7.87,26893.3
-7.865,27057.4
-7.86,27186.4
-7.855,27370.7
-7.85,27446.3
-7.845,27546.1
-7.84,27752.2
-7.835,28015.7
-7.83,28135.4
-7.825,28249.5
-7.82,28405.7
-7.815,28515.5
-7.81,28719.5
-7.805,28896.0
-7.8,29007.0
-7.795,29208.7
-7.79,29326.7
-7.785,29444.6
-7.78,29645.4
-7.775,29846.3
-7.77,30034.3
-7.765,30073.8
-7.76,30245.9
-7.755,30483.4
-7.75,30622.4
-7.745,30779.8
-7.74,30953.3
-7.735,31012.6
-7.73,31276.5
-7.725,31350.3
-7.72,31663.3
-7.715,31696.8
-7.71,31893.2
-7.705,32038.6
-7.7,32197.8
-7.695,32324.5
-7.69,32468.1
-7.685,32689.6
-7.68,32880.0
-7.675,33051.7
-7.67,33104.2
-7.665,33337.0
-7.66,33518.3
-7.655,33731.5
-7.65,33813.8
-7.645,33926.2
-7.64,34122.6
-7.635,34221.8
-7.63,34567.4
-7.625,34667.2
-7.62,34782.1
-7.615,34936.8
-7.61,35163.1
-7.605,35266.1
-7.6,35361.3
-7.595,35512.0
-7.59,35720.9
-7.585,35840.4
-7.58,36078.9
-7.575,36243.1
-7.57,36362.6
-7.565,36560.7
-7.56,36693.9
-7.555,36895.3
-7.55,37101.1
-7.545,37167.2
-7.54,37306.2
-7.535,37529.4
-7.53,37675.0
-7.525,37817.4
-7.52,37951.0
-7.515,38214.0
-7.51,38369.6
-7.505,38504.1
-7.5,38668.5
-7.495,38819.7
-7.49,39009.7
-7.485,39178.6
-7.48,39365.2
-7.475,39419.1
-7.47,39579.2
-7.465,39745.6
-7.46,39906.3
-7.455,40031.0
-7.45,40238.6
-7.445,40466.8
-7.44,40538.3
-7.435,40686.7
-7.43,40881.7
-7.425,41079.5
-7.42,41234.9
-7.415,41366.7
-7.41,41586.7
-7.405,41749.2
-7.4,41833.7
-7.395,42018.3
-7.39,42167.5
-7.385,42318.4
-7.38,42406.1
-7.375,42583.1
-7.37,42791.6
-7.365,42920.6
-7.36,43083.7
-7.355,43306.4
-7.35,43431.7
-7.345,43530.2
-7.34,43697.9
-7.335,43804.4
-7.33,44015.6
-7.325,44201.4
-7.32,44344.4
-7.315,44446.8
-7.31,44591.1
-7.305,44766.2
-7.3,44960.8
-7.295,45055.0
-7.29,45215.6
-7.285,45425.5
-7.28,45580.1
-7.275,45593.0
-7.27,45820.9
-7.265,46028.2
-7.26,46127.4
-7.255,46297.4
-7.25,46382.7
-7.245,46571.9
-7.24,46741.8
-7.235,46880.2
-7.23,46937.7
-7.225,47170.1
-7.22,47275.7
-7.215,47487.7
-7.21,47634.2
-7.205,47742.1
-7.2,47824.2
-7.195,47985.4
-7.19,48114.0
-7.185,48304.8
-7.18,48459.6
-7.175,48534.7
-7.17,48797.9
-7.165,48880.7
-7.16,49028.1
-7.155,49170.8
-7.15,49251.0
-7.145,49374.7
-7.14,49624.1
-7.135,49709.3
-7.13,49834.8
-7.125,50010.9
-7.12,50111.9
-7.115,50246.5
-7.11,50434.0
-7.105,50530.5
-7.1,50651.4
-7.095,50750.2
-7.09,50857.1
-7.085,51057.6
-7.08,51222.7
-7.075,51350.2
-7.07,51536.6
-7.065,51693.4
-7.06,51727.9
-7.055,51853.0
-7.05,51995.6
-7.045,52146.1
-7.04,52218.4
-7.035,52390.4
-7.03,52531.0
-7.025,52624.4
-7.02,52694.2
-7.015,52868.9
-7.01,52992.3
-7.005,53167.0
-7.0,53275.6
-6.995,53379.3
-6.99,53519.9
-6.985,53682.7
-6.98,53812.1
-6.975,53847.4
-6.97,54028.1
-6.965,54116.7
-6.96,54273.6
-6.955,54380.9
-6.95,54564.7
-6.945,54595.0
-6.94,54726.8
-6.935,54877.1
-6.93,54924.6
-6.925,55116.2
-6.92,55258.6
-6.915,55276.6
-6.91,55488.1
-6.905,55590.4
-6.9,55714.8
-6.895,55836.5
-6.89,55859.5
-6.885,55952.8
-6.88,56142.0
-6.875,56172.5
-6.87,56261.3
-6.865,56413.2
-6.86,56550.3
-6.855,56695.0
-6.85,56717.1
-6.845,56901.1
-6.84,56967.1
-6.835,57037.0
-6.83,57206.7
-6.825,57343.2
-6.82,57372.6
-6.815,57530.0
-6.81,57616.0
-6.805,57783.1
-6.8,57787.2
-6.795,57910.9
-6.79,58109.9
-6.785,58189.7
-6.78,58165.9
-6.775,58349.0
-6.77,58473.1
