,Shannon Entropy,Source
0,8.873383980541345,Simulation
1,8.810018586597113,Simulation
2,8.867094969908493,Simulation
3,8.866693014231107,Simulation
4,8.84520358572008,Simulation
5,8.864133816930362,Simulation
6,8.877853878764103,Simulation
7,8.86962045532723,Simulation
8,8.833869235501838,Simulation
9,8.854561870521843,Simulation
10,8.829198476151095,Simulation
11,8.778241038049181,Simulation
12,8.83392727050101,Simulation
13,8.830634888101901,Simulation
14,8.817583808146436,Simulation
15,8.825231907470796,Simulation
16,8.8395629198092,Simulation
17,8.835356936856542,Simulation
18,8.798902763773592,Simulation
19,8.822067150152034,Simulation
20,8.791151253893537,Simulation
21,8.718957183736395,Simulation
22,8.775345870225335,Simulation
23,8.782292887642418,Simulation
24,8.760125780588442,Simulation
25,8.77449759473169,Simulation
26,8.783456985375942,Simulation
27,8.776172572188715,Simulation
28,8.73396189476411,Simulation
29,8.765396070417161,Simulation
30,8.826237709273231,Simulation
31,8.778800671270037,Simulation
32,8.822452366260297,Simulation
33,8.823626156760799,Simulation
34,8.803996977427806,Simulation
35,8.816813632597702,Simulation
36,8.831460237717055,Simulation
37,8.832291863228667,Simulation
38,8.787123255818333,Simulation
39,8.816922175646658,Simulation
40,8.821341835719538,Simulation
41,8.774748835755773,Simulation
42,8.82255603864049,Simulation
43,8.824570563629228,Simulation
44,8.800208755115511,Simulation
45,8.82081048278282,Simulation
46,8.822687661454385,Simulation
47,8.82517879575529,Simulation
48,8.787644612428881,Simulation
49,8.805082645230476,Simulation
50,8.854110001002887,Simulation
51,8.797238225375413,Simulation
52,8.849431159804478,Simulation
53,8.848813636378692,Simulation
54,8.818723477656576,Simulation
55,8.827217026386746,Simulation
56,8.842317811723722,Simulation
57,8.846016391210913,Simulation
58,8.806975138656659,Simulation
59,8.838611981070661,Simulation
60,8.864365026038088,Simulation
61,8.811859055104124,Simulation
62,8.855164178897583,Simulation
63,8.86160222709704,Simulation
64,8.850638293867826,Simulation
65,8.856715734482467,Simulation
66,8.865138688510267,Simulation
67,8.868559939534721,Simulation
68,8.8303506297631,Simulation
69,8.848108642437197,Simulation
70,8.686476595239496,Simulation
71,8.63641945771684,Simulation
72,8.687287571903353,Simulation
73,8.698394861571048,Simulation
74,8.661072937914717,Simulation
75,8.684496428469457,Simulation
76,8.694005870319074,Simulation
77,8.692259599016127,Simulation
78,8.660666206612442,Simulation
79,8.676025549147365,Simulation
80,8.788727116070612,Simulation
81,8.727542777142213,Simulation
82,8.779214534555056,Simulation
83,8.788255928509011,Simulation
84,8.769928395026042,Simulation
85,8.780727025888723,Simulation
86,8.795475492242675,Simulation
87,8.785777438535629,Simulation
88,8.77086016720213,Simulation
89,8.771715482402753,Simulation
90,8.849418791135667,Simulation
91,8.802438855084766,Simulation
92,8.850917978077419,Simulation
93,8.851320644653079,Simulation
94,8.835091120494418,Simulation
95,8.85544710161251,Simulation
96,8.858568216078215,Simulation
97,8.857805681586493,Simulation
98,8.82668706055916,Simulation
99,8.843028527421954,Simulation
100,8.8161121352733,Simulation
101,8.755999449727803,Simulation
102,8.808424488156124,Simulation
103,8.80993723033046,Simulation
104,8.791373750649642,Simulation
105,8.805249751728589,Simulation
106,8.824319542410135,Simulation
107,8.817252207048638,Simulation
108,8.773834377701714,Simulation
109,8.79879107861634,Simulation
110,8.876156366174492,Simulation
111,8.82047787697106,Simulation
112,8.870648521088594,Simulation
113,8.866005379444752,Simulation
114,8.844918193494536,Simulation
115,8.862771321669289,Simulation
116,8.880127280452514,Simulation
117,8.869871672821995,Simulation
118,8.837479134968726,Simulation
119,8.860540160105447,Simulation
8,8.029155490672638,Experiment
9,8.506772009828426,Experiment
10,8.909176482532056,Experiment
11,8.461996852799517,Experiment
12,8.629757968797175,Experiment
13,8.860975385251585,Experiment
14,9.212440305407792,Experiment
15,8.689130432631702,Experiment
16,8.36879622739385,Experiment
17,9.408926797487709,Experiment
18,8.68651907307386,Experiment
19,9.288761287195474,Experiment
