,Sample,Replicate,Fraction
0,One disc,A,0.820344
1,One disc,A,0.7929440000000001
2,One disc,A,0.7534
3,One disc,B,0.803632
4,One disc,B,0.782808
5,One disc,B,0.750036
6,One disc,C,0.6968399999999999
7,One disc,C,0.788996
8,One disc,C,0.7940519999999999
9,One disc,D,0.646792
10,One disc,D,0.762216
11,One disc,D,0.67722
12,"Two disc
same well",A,0.034696
13,"Two disc
same well",A,0.023168
14,"Two disc
same well",A,0.054584
15,"Two disc
same well",A,0.017656
16,"Two disc
same well",A,0.047936
17,"Two disc
same well",A,0.03307999999999999
18,"Two disc
same well",B,0.034816
19,"Two disc
same well",B,0.029372
20,"Two disc
same well",B,0.04282
21,"Two disc
same well",B,0.027308
22,"Two disc
same well",B,0.041112
23,"Two disc
same well",B,0.030868
24,"Two disc
same well",C,0.041624
25,"Two disc
same well",C,0.052064
26,"Two disc
same well",C,0.029344
27,"Two disc
same well",C,0.052624
28,"Two disc
same well",C,0.034884
29,"Two disc
same well",C,0.046292
30,"Two disc
same well",D,0.03382399999999999
31,"Two disc
same well",D,0.0598
32,"Two disc
same well",D,0.03882
33,"Two disc
same well",D,0.041872
34,"Two disc
same well",D,0.048388
35,"Two disc
same well",D,0.030508
36,"Three disc
same wells",A,0.001796
37,"Three disc
same wells",A,0.001468
38,"Three disc
same wells",A,0.001316
39,"Three disc
same wells",B,0.004384000000000001
40,"Three disc
same wells",B,0.0074
41,"Three disc
same wells",B,0.002676
42,"Three disc
same wells",C,0.002428
43,"Three disc
same wells",C,0.003096
44,"Three disc
same wells",C,0.004412
45,"Three disc
same wells",D,0.001688
46,"Three disc
same wells",D,0.003087999999999999
47,"Three disc
same wells",D,0.001852
48,"Two disc
different wells",E,0.021596
49,"Two disc
different wells",E,0.013908
50,"Two disc
different wells",E,0.04274799999999999
51,"Two disc
different wells",E,0.019384
52,"Two disc
different wells",E,0.041044
53,"Two disc
different wells",E,0.021188
54,"Two disc
different wells",E,0.029588
55,"Two disc
different wells",E,0.029364
56,"Two disc
different wells",E,0.02894
57,"Two disc
different wells",E,0.031488
58,"Two disc
different wells",E,0.046856
59,"Two disc
different wells",E,0.031548
60,"Two disc
different wells",E,0.02676
61,"Two disc
different wells",E,0.048536
62,"Two disc
different wells",E,0.031172
63,"Two disc
different wells",E,0.042788
64,"Two disc
different wells",E,0.036908
65,"Two disc
different wells",E,0.044092
66,"Two disc
different wells",E,0.049264
67,"Two disc
different wells",E,0.016748
68,"Two disc
different wells",E,0.052304
69,"Two disc
different wells",E,0.021544
70,"Two disc
different wells",E,0.033724
71,"Two disc
different wells",E,0.017332
72,"Two disc
different wells",E,0.049624
73,"Two disc
different wells",E,0.026532
74,"Two disc
different wells",E,0.041684
75,"Two disc
different wells",E,0.028108
76,"Two disc
different wells",E,0.03389200000000001
77,"Two disc
different wells",E,0.037688
78,"Two disc
different wells",E,0.042356
79,"Two disc
different wells",E,0.03843199999999999
80,"Two disc
different wells",E,0.045836
81,"Two disc
different wells",E,0.048744
82,"Two disc
different wells",E,0.030316
83,"Two disc
different wells",E,0.05086
84,"Two disc
different wells",E,0.05456
85,"Two disc
different wells",E,0.015264
86,"Two disc
different wells",E,0.035952
87,"Two disc
different wells",E,0.017228
88,"Two disc
different wells",E,0.05368400000000001
89,"Two disc
different wells",E,0.01624
90,"Two disc
different wells",E,0.055356
91,"Two disc
different wells",E,0.0264
92,"Two disc
different wells",E,0.036136
93,"Two disc
different wells",E,0.03094
94,"Two disc
different wells",E,0.051616
95,"Two disc
different wells",E,0.029644
96,"Two disc
different wells",E,0.051996
97,"Two disc
different wells",E,0.038348
98,"Two disc
different wells",E,0.035888
99,"Two disc
different wells",E,0.04720000000000001
100,"Two disc
different wells",E,0.04608
101,"Two disc
different wells",E,0.043132
102,"Two disc
different wells",E,0.04621599999999999
103,"Two disc
different wells",E,0.023704
104,"Two disc
different wells",E,0.044824
105,"Two disc
different wells",E,0.029852
106,"Two disc
different wells",E,0.03200799999999999
107,"Two disc
different wells",E,0.030548
108,"Two disc
different wells",E,0.04906
109,"Two disc
different wells",E,0.033004
110,"Two disc
different wells",E,0.04787999999999999
111,"Two disc
different wells",E,0.034088
112,"Two disc
different wells",E,0.03126
113,"Two disc
different wells",E,0.038312
114,"Two disc
different wells",E,0.052208
115,"Two disc
different wells",E,0.03589199999999999
116,"Two disc
different wells",E,0.03786
117,"Two disc
different wells",E,0.041072
118,"Two disc
different wells",E,0.036868
119,"Two disc
different wells",E,0.04544
120,"Two disc
different wells",E,0.059172
121,"Two disc
different wells",E,0.0238
122,"Two disc
different wells",E,0.041876
123,"Two disc
different wells",E,0.027308
124,"Two disc
different wells",E,0.054328
125,"Two disc
different wells",E,0.025904
126,"Two disc
different wells",E,0.049924
127,"Two disc
different wells",E,0.027824
128,"Two disc
different wells",E,0.042832
129,"Two disc
different wells",E,0.040304
130,"Two disc
different wells",E,0.054204
131,"Two disc
different wells",E,0.032072
132,"Two disc
different wells",E,0.052304
133,"Two disc
different wells",E,0.03272800000000001
134,"Two disc
different wells",E,0.03058
135,"Two disc
different wells",E,0.033968
136,"Two disc
different wells",E,0.051528
137,"Two disc
different wells",E,0.03662
138,"Two disc
different wells",E,0.047176
139,"Two disc
different wells",E,0.040692
140,"Two disc
different wells",E,0.0369
141,"Two disc
different wells",E,0.0459
142,"Two disc
different wells",E,0.043304
143,"Two disc
different wells",E,0.04044
144,"Two disc
different wells",E,0.057528
145,"Two disc
different wells",E,0.03562000000000001
146,"Two disc
different wells",E,0.04044
147,"Two disc
different wells",E,0.04835200000000001
148,"Two disc
different wells",E,0.05545600000000001
149,"Two disc
different wells",E,0.041436
150,"Two disc
different wells",E,0.05762
151,"Two disc
different wells",E,0.027256
152,"Two disc
different wells",E,0.040272
153,"Two disc
different wells",E,0.0325
154,"Two disc
different wells",E,0.052708
155,"Two disc
different wells",E,0.029676
