,mu
0.05,1.4556735833103202e-05
0.1,1.795251672916639e-05
0.15,5.890636227918548e-06
0.2,7.578775861250311e-06
0.25,3.7677014368369543e-05
0.3,4.5764273243740525e-05
0.35,8.510226596077798e-05
0.4,0.00027282975688658437
0.45,1.377737750672811e-05
0.5,1.6790963921720983e-05
0.55,2.0130618751586306e-05
0.6,1.2820106257718396e-05
0.65,3.209241301329926e-06
0.7,5.259735177318446e-07
0.75,1.4020688783247582e-06
0.8,6.22618637387062e-07
0.85,1.1414575501497142e-07
0.9,3.6874849461099854e-07
0.95,6.826486885758293e-08
1.0,1.0678063480136436e-07
1.05,2.882074934741937e-07
1.1,4.850173909487341e-09
1.15,9.972064138492055e-09
1.2,5.603521666235319e-10
1.3,2.2332054540972818e-10
1.45,2.3401731543149966e-11
1.5,1.5233935560990923e-10
1.55,2.3236921425402514e-10
1.6,3.457080567375641e-11
1.65,4.1264867771970095e-10
1.9,6.216862927091353e-12
