,mu
0.1,0.0003474253442423
0.15,0.0006070032876677
0.2,0.0003344405519343
0.25,5.023601915782608e-05
0.3,1.654922152547797e-05
0.35,2.832514565013474e-06
0.4,4.580374973294645e-05
0.45,5.1990103798974e-07
0.5,2.1561430397073494e-07
0.55,1.1679175416842613e-05
0.6,1.2962882383094376e-05
0.65,3.713494806654605e-07
0.7,5.8725198581710784e-08
0.75,9.358187542901346e-07
0.8,8.587843274304303e-09
0.85,1.5219434001996184e-08
0.9,1.4216809430785485e-08
0.95,1.1377478142930487e-09
1.0,1.452797752399515e-09
1.05,1.1565308726893803e-10
1.1,5.878998678166471e-10
1.15,4.659843055370119e-11
1.2,8.741493799327096e-08
1.4,2.3282804134899858e-11
1.45,9.068170972970612e-11
1.5,1.835413923010955e-12
2.9,1.7703912905743326e-17
2.95,3.641034439532855e-18
