,Flask_AmkA,Flask_AmkB,BiofilmPlank_AmkA,BiofilmPlank_AmkB,BiofilmPlank_A,BiofilmPlank_B,Disc_A1,Disc_A2,Disc_A3,Disc_B1,Disc_B2,Disc_B3,Disc_AmkA1,Disc_AmkA2,Disc_AmkA3,Disc_AmkB1,Disc_AmkB2,Disc_AmkB3
0,10.970045320903184,10.970045320903184,10.970045320903184,10.970045320903184,10.970045320903184,10.970045320903184,,,,,,,,,,,,
1,10.84858016625602,10.666134577596281,10.85381140807776,10.622655684510104,10.938095383722667,10.759985921488726,8.029155490672636,8.506772009828426,8.909176482532057,8.461996852799517,8.629757968797175,8.860975385251585,9.212440305407792,8.689130432631702,8.368796227393851,9.408926797487707,8.68651907307386,9.288761287195472
2,10.502212416303767,10.415708328753839,10.819337977324993,10.839052364867742,10.732609064223816,10.801928679329201,,,,,,,,,,,,
3,9.06656230408418,9.761094594637278,10.752124811084235,10.7578025940797,10.0640845581193,10.59865809778899,,,,,,,,,,,,
4,7.572815081950415,9.49109838092756,8.874745098329091,9.520724321591919,5.4190002118781795,10.391592200309715,9.673548370639168,10.236282739079043,10.72102997453587,8.267769909392578,10.090872013318855,9.823670181326287,10.358942639351838,10.141288267985981,9.884791810002657,9.90687169825787,9.599927107696933,10.682210861883565
5,7.3405929593628265,8.274638093765853,4.6549191388730815,5.289863550940357,3.797480701975885,8.770977641523135,,,,,,,,,,,,
6,6.891635580187698,7.023720022008694,4.527005603049818,4.502006044687394,3.1032153592562537,6.318176197651171,,,,,,,,,,,,
7,,,,,,,9.635697274569551,9.97470423545835,9.86700051651807,,10.187139701687958,9.926651978525506,10.563855374082808,10.092449042250262,10.264264679389544,9.731740349512384,9.615923989140722,10.743278603126885
10,,,,,,,8.95643383971594,8.388852215157613,8.374850897576366,9.437029261364485,9.468735525794356,9.84336944029506,8.470059392062533,8.285927654511001,8.444344510251533,9.036440883742621,8.924650106893095,9.783014551212517
13,,,,,,,7.110261785353994,7.165662600051167,6.814730864558323,8.479220833515829,8.641921215265985,7.715409231362407,4.924100344494246,4.835029068475089,4.806333749284468,5.501559689342256,5.7547521587181265,5.733542873189744
16,,,,,,,7.5164134747905855,7.681351462942537,7.264380477545275,7.849158034870182,8.341869435667727,8.899032560714433,4.572400060391965,4.1434348543844095,4.6251633357195,4.463224826503208,4.432041809566524,4.466861177302081
