,Sample,Time,Fraction
0,One disc,0,0.6283
1,One disc,1,0.19236399999999998
2,One disc,2,0.14452399999999999
3,One disc,3,0.106992
4,One disc,4,0.007935999999999999
5,One disc,5,0.006827999999999999
6,One disc,0,0.705144
7,One disc,1,0.200288
8,One disc,2,0.286096
9,One disc,3,0.12208000000000001
10,One disc,4,0.058219999999999994
11,One disc,5,0.005316
12,One disc,0,0.699548
13,One disc,1,0.331352
14,One disc,2,0.212768
15,One disc,3,0.18191600000000002
16,One disc,4,0.006267999999999999
17,One disc,5,0.007168000000000001
18,Two disc,0,0.041624
19,Two disc,0,0.052064
20,Two disc,1,0.04132
21,Two disc,1,0.0413
22,Two disc,2,0.033256
23,Two disc,2,0.043512
24,Two disc,3,0.360976
25,Two disc,3,0.36340799999999995
26,Two disc,4,0.8077879999999998
27,Two disc,4,0.7923
28,Two disc,5,0.8360799999999999
29,Two disc,5,0.895148
30,Two disc,0,0.029344
31,Two disc,0,0.052624000000000004
32,Two disc,1,0.037208000000000005
33,Two disc,1,0.050263999999999996
34,Two disc,2,0.034296
35,Two disc,2,0.040628
36,Two disc,3,0.35954400000000003
37,Two disc,3,0.33850399999999997
38,Two disc,4,0.81972
39,Two disc,4,0.8311200000000001
40,Two disc,5,0.8382640000000001
41,Two disc,5,0.847824
42,Two disc,0,0.046292
43,Two disc,0,0.034884
44,Two disc,1,0.049172
45,Two disc,1,0.038728
46,Two disc,2,0.04432
47,Two disc,2,0.0492
48,Two disc,3,0.342408
49,Two disc,3,0.3649
50,Two disc,4,0.8170080000000001
51,Two disc,4,0.7914320000000001
52,Two disc,5,0.8391280000000001
53,Two disc,5,0.8872119999999999
