,Sample,Time,Fraction
0,One disc,0,0.73038
1,One disc,1,0.5456080000000001
2,One disc,2,
3,One disc,3,0.230548
4,One disc,4,0.394372
5,One disc,5,0.08554400000000001
6,One disc,0,0.719724
7,One disc,1,0.248924
8,One disc,2,0.25025600000000003
9,One disc,3,0.27905199999999997
10,One disc,4,0.233624
11,One disc,5,0.35064
12,One disc,0,0.694536
13,One disc,1,0.296528
14,One disc,2,0.31231600000000004
15,One disc,3,0.169436
16,One disc,4,0.092332
17,One disc,5,0.20357199999999998
18,Two disc,0,0.034816
19,Two disc,0,0.029371999999999995
20,Two disc,1,0.06504
21,Two disc,1,0.026480000000000004
22,Two disc,2,
23,Two disc,2,0.000156
24,Two disc,3,0.14458
25,Two disc,3,0.154252
26,Two disc,4,0.263212
27,Two disc,4,0.28206
28,Two disc,5,0.36298400000000003
29,Two disc,5,0.26001199999999997
30,Two disc,0,0.04282
31,Two disc,0,0.027308
32,Two disc,1,0.07419200000000001
33,Two disc,1,0.037428
34,Two disc,2,0.0482
35,Two disc,2,6.8e-05
36,Two disc,3,0.142988
37,Two disc,3,0.11770800000000001
38,Two disc,4,0.251272
39,Two disc,4,0.431656
40,Two disc,5,0.38234
41,Two disc,5,0.25732
42,Two disc,0,0.030868000000000003
43,Two disc,0,0.041111999999999996
44,Two disc,1,0.06427999999999999
45,Two disc,1,0.055092
46,Two disc,2,0.080092
47,Two disc,2,0.06979600000000001
48,Two disc,3,0.13282
49,Two disc,3,0.16364800000000002
50,Two disc,4,0.44602400000000003
51,Two disc,4,0.287768
52,Two disc,5,0.253176
53,Two disc,5,0.271064
