,Flask_AmkA,Flask_AmkB,BiofilmPlank_AmkA,BiofilmPlank_AmkB,BiofilmPlank_A,BiofilmPlank_B,Disc_A1,Disc_A2,Disc_A3,Disc_B1,Disc_B2,Disc_B3,Disc_AmkA1,Disc_AmkA2,Disc_AmkA3,Disc_AmkB1,Disc_AmkB2,Disc_AmkB3
1,0.4658240000000001,0.5075839999999999,0.4555960000000001,0.5158080000000002,0.4341480000000001,0.485908,0.84392,0.831084,0.8191199999999998,0.8402240000000001,0.828924,0.80644,0.7808240000000003,0.843924,0.8396959999999999,0.7610279999999999,0.81786,0.7725680000000001
2,0.5600680000000001,0.5788,0.48103200000000007,0.4782000000000002,0.5001480000000003,0.4880600000000001,,,,,,,,,,,,
3,0.8107400000000002,0.7244200000000001,0.49047599999999997,0.493444,0.554136,0.5321280000000002,,,,,,,,,,,,
4,0.8558759999999997,0.7540079999999998,0.623544,0.6231599999999999,0.728752,0.5502,0.7136719999999998,0.615908,0.48863600000000007,0.829924,0.6214879999999999,0.66472,0.577844,0.597864,0.6709759999999998,0.6664000000000001,0.7139599999999998,0.5107080000000003
5,0.8666120000000002,0.855244,0.8579680000000001,0.823968,0.8073439999999998,0.643532,,,,,,,,,,,,
6,0.8559480000000002,0.8920080000000001,0.8676039999999998,0.8626800000000001,0.8432279999999999,0.7499759999999999,,,,,,,,,,,,
7,,,,,,,0.655344,0.5971240000000001,0.652492,,0.6119600000000001,0.6545440000000001,0.543296,0.6425600000000001,0.5957439999999999,0.6922560000000001,0.6985159999999999,0.490564
10,,,,,,,0.687304,0.6962080000000002,0.6368,0.664816,0.6906600000000002,0.6106079999999999,0.673736,0.690884,0.7138880000000001,0.740928,0.7091999999999999,0.6112839999999998
13,,,,,,,0.740472,0.7772680000000002,0.728252,0.7763240000000002,0.7162639999999999,0.7099200000000001,0.8476400000000001,0.864916,0.85164,0.818508,0.8401959999999999,0.8062480000000001
16,,,,,,,0.8192879999999997,0.76176,0.795356,0.6929960000000001,0.7613880000000002,0.681108,0.8618080000000002,0.896244,0.86434,0.8636799999999999,0.8731520000000002,0.8631639999999997
