,BiofilmPlank_AmkA,BiofilmPlank_AmkB,Flask_AmkA,Flask_AmkB,BiofilmPlank_A,BiofilmPlank_B,Disc_A1,Disc_A2,Disc_A3,Disc_B1,Disc_B2,Disc_B3,Disc_AmkA1,Disc_AmkA2,Disc_AmkA3,Disc_AmkB1,Disc_AmkB2,Disc_AmkB3
0,88551.0,88551.0,88551.0,88551.0,88551.0,88551.0,,,,,,,,,,,,
1,80716.0,64981.0,79987.0,68040.0,86746.0,73092.0,21968.0,18835.0,16559.0,17797.0,18105.0,21953.0,27549.0,11582.0,13998.0,28942.0,18046.0,29329.0
2,79884.0,81099.0,66430.0,60770.0,76717.0,79885.0,,,,,,,,,,,,
3,78351.0,77602.0,23608.0,35218.0,67269.0,70973.0,,,,,,,,,,,,
4,56279.0,49900.0,20328.0,31408.0,40782.0,66145.0,32790.0,49451.0,73169.0,13390.0,44399.0,36357.0,54003.0,45655.0,36419.0,39227.0,27879.0,70698.0
5,21462.0,29867.0,17860.0,18133.0,29298.0,54935.0,,,,,,,,,,,,
6,20980.0,22625.0,21915.0,11124.0,26892.0,41691.0,,,,,,,,,,,,
7,,,,,,,38976.0,53962.0,46281.0,15.0,50622.0,39733.0,64436.0,43767.0,50734.0,37304.0,31431.0,74238.0
10,,,,,,,36391.0,40603.0,51996.0,37647.0,39649.0,50863.0,46307.0,37141.0,37899.0,32577.0,28306.0,53584.0
13,,,,,,,32030.0,30596.0,37854.0,29658.0,36730.0,41477.0,25924.0,17075.0,23429.0,27385.0,20536.0,29304.0
16,,,,,,,23164.0,30099.0,26933.0,41450.0,30829.0,41101.0,22375.0,11281.0,20542.0,20628.0,17802.0,21303.0
